transaction_id,transaction_amount,transaction_timestamp,is_fraud,hour,is_night,user_account_age_days,kyc_verified,device_type,operating_system,country,city,payment_method,card_type,merchant_category
TXN00987232,4201.6298828125,2025-02-04 23:47:11,True,23,True,1683,1,mobile,iOS,Bangladesh,Chittagong,bank,credit,travel
TXN00079955,2158.070068359375,2024-03-13 11:49:41,False,11,False,238,1,tablet,Android,Bangladesh,Chittagong,nagad,credit,grocery
TXN00567131,221.49000549316406,2024-04-07 22:29:08,False,22,False,272,1,desktop,iOS,Bangladesh,Dhaka,bkash,debit,fashion
TXN00500892,3388.18994140625,2024-06-01 01:41:51,False,1,True,547,1,desktop,iOS,Bangladesh,Chittagong,bank,credit,travel
TXN00055400,781.5399780273438,2025-07-12 13:44:30,False,13,False,1335,1,desktop,iOS,Bangladesh,Rajshahi,card,credit,travel
TXN00135050,206.63999938964844,2025-12-14 20:11:12,False,20,False,768,1,tablet,Android,Bangladesh,Rajshahi,card,debit,travel
TXN00693950,4799.2001953125,2025-12-16 09:25:33,False,9,False,54,1,tablet,Android,Bangladesh,Khulna,bank,debit,fashion
TXN00732057,1602.300048828125,2025-08-10 15:45:22,False,15,False,1204,1,tablet,Android,Bangladesh,Chittagong,bank,debit,grocery
TXN00051334,506.6199951171875,2025-09-12 04:08:01,True,4,True,1900,1,tablet,iOS,Bangladesh,Dhaka,card,debit,grocery
TXN00995354,488.29998779296875,2025-11-27 19:56:30,False,19,False,1083,1,mobile,Windows,Bangladesh,Khulna,bkash,credit,travel
TXN00399759,684.3400268554688,2025-09-22 19:18:38,False,19,False,1719,1,desktop,iOS,Bangladesh,Khulna,card,debit,travel
TXN00401398,366.239990234375,2024-03-19 17:39:45,False,17,False,387,1,mobile,Windows,Bangladesh,Khulna,bank,debit,travel
TXN00855486,5904.93017578125,2025-09-04 22:18:51,False,22,False,765,1,mobile,Windows,Bangladesh,Khulna,bkash,debit,travel
TXN00760443,2760.550048828125,2024-05-30 08:21:58,False,8,False,546,1,desktop,Android,Bangladesh,Chittagong,bank,credit,grocery
TXN00503248,566.1099853515625,2024-12-25 00:35:08,False,0,True,120,1,desktop,Android,Bangladesh,Dhaka,bank,debit,electronics
TXN00864742,1125.3800048828125,2024-07-23 01:54:18,False,1,True,1109,1,desktop,iOS,Bangladesh,Khulna,bank,credit,grocery
TXN00035033,9597.2099609375,2025-09-08 19:16:55,False,19,False,963,1,mobile,Windows,Bangladesh,Rajshahi,bank,debit,grocery
TXN00985860,320.0299987792969,2024-07-11 22:52:49,False,22,False,1091,1,desktop,iOS,Bangladesh,Chittagong,bank,credit,fashion
TXN00376762,960.6799926757812,2024-07-20 15:38:51,False,15,False,85,1,tablet,Android,Bangladesh,Dhaka,bank,credit,fashion
TXN00811354,987.8599853515625,2025-11-26 00:51:47,False,0,True,1626,1,tablet,iOS,Bangladesh,Rajshahi,card,credit,grocery
TXN00577746,575.1699829101562,2025-05-08 11:28:49,False,11,False,1656,1,mobile,Windows,Bangladesh,Dhaka,bkash,credit,grocery
TXN00650817,63.75,2024-01-08 22:37:19,False,22,False,790,1,mobile,iOS,Bangladesh,Rajshahi,card,credit,grocery
TXN00219340,335.4100036621094,2025-06-11 10:46:31,False,10,False,982,1,tablet,Windows,Bangladesh,Dhaka,bank,debit,grocery
TXN00979756,97.54000091552734,2025-10-27 22:48:40,False,22,False,1107,1,tablet,iOS,Bangladesh,Rajshahi,bkash,debit,grocery
TXN00625692,106.66000366210938,2024-06-12 23:06:15,False,23,True,502,1,tablet,Android,Bangladesh,Rajshahi,bkash,debit,grocery
TXN00215340,2957.72998046875,2025-03-29 04:47:07,False,4,True,715,1,desktop,Android,Bangladesh,Dhaka,card,debit,fashion
TXN00443418,88.4000015258789,2025-10-12 11:35:14,False,11,False,673,1,desktop,iOS,Bangladesh,Dhaka,card,credit,electronics
TXN00692727,3150.639892578125,2025-04-06 07:11:49,False,7,False,1089,1,tablet,Windows,Bangladesh,Rajshahi,bkash,debit,fashion
TXN00336984,2555.10009765625,2025-12-13 09:49:22,False,9,False,1373,1,mobile,iOS,Bangladesh,Chittagong,card,debit,grocery
TXN00518813,600.3900146484375,2024-03-09 22:43:15,False,22,False,1355,1,tablet,Windows,Bangladesh,Chittagong,bkash,credit,grocery
TXN00915574,989.4299926757812,2025-09-24 19:15:54,False,19,False,1839,1,mobile,iOS,Bangladesh,Rajshahi,card,credit,electronics
TXN00002086,281.9700012207031,2024-05-16 19:24:56,False,19,False,694,1,tablet,iOS,Bangladesh,Rajshahi,nagad,credit,grocery
TXN00663615,6097.75,2024-06-21 17:35:17,False,17,False,1769,1,tablet,Windows,Bangladesh,Chittagong,card,debit,electronics
TXN00677814,506.07000732421875,2025-05-19 08:26:55,False,8,False,1695,1,desktop,iOS,Bangladesh,Rajshahi,bkash,debit,electronics
TXN00820424,1964.8900146484375,2024-12-19 14:46:47,False,14,False,1701,1,mobile,iOS,Bangladesh,Khulna,bank,debit,travel
TXN00543083,5126.60009765625,2024-12-13 00:37:08,False,0,True,1770,1,mobile,iOS,Bangladesh,Rajshahi,bank,credit,travel
TXN00529928,86.62999725341797,2025-02-19 20:10:08,False,20,False,361,1,mobile,iOS,Bangladesh,Dhaka,bank,debit,fashion
TXN00066337,1488.489990234375,2024-02-10 13:32:23,False,13,False,1582,1,mobile,Windows,Bangladesh,Dhaka,card,credit,electronics
TXN00272967,4048.489990234375,2025-11-22 17:46:15,False,17,False,1717,1,tablet,Windows,Bangladesh,Dhaka,nagad,credit,grocery
TXN00876376,2414.22998046875,2025-12-02 15:52:24,False,15,False,470,1,desktop,Android,Bangladesh,Khulna,nagad,credit,travel
TXN00443182,2630.85009765625,2024-09-30 07:36:17,False,7,False,635,1,desktop,Windows,Bangladesh,Dhaka,card,credit,fashion
TXN00038748,1022.9400024414062,2025-04-29 20:45:22,False,20,False,880,1,mobile,iOS,Bangladesh,Khulna,bank,debit,fashion
TXN00244519,2559.9599609375,2024-05-24 23:19:49,False,23,True,686,1,tablet,Android,Bangladesh,Chittagong,bank,debit,travel
TXN00321942,595.219970703125,2024-11-08 00:29:25,False,0,True,120,1,mobile,Android,Bangladesh,Dhaka,nagad,credit,grocery
TXN00212424,200.8800048828125,2025-09-14 21:17:31,False,21,False,353,1,desktop,iOS,Bangladesh,Rajshahi,bkash,credit,grocery
TXN00849498,2207.070068359375,2024-10-17 12:53:50,False,12,False,161,1,desktop,Android,Bangladesh,Rajshahi,card,debit,fashion
